0                 310       2	34                -9999     0	68                2245      1	102               2895      2	136               407       6	170               1103      1	204               2070      1	238               -9999     0	272               1205      1	306               -9999     0	
1                 567       8	35                346       1	69                4722      5	103               414       1	137               2625      1	171               2649      2	205               3931      4	239               -9999     0	273               1206      1	307               2795      1	
2                 1553      2	36                2835      1	70                2845      5	104               2903      1	138               -9999     0	172               2646      3	206               2072      1	240               4276      2	274               3374      3	308               -9999     0	
3                 4046      1	37                2836      1	71                3157      4	105               2591      2	139               3249      1	173               4521      4	207               201       4	241               -9999     0	275               4007      1	309               931       1	
4                 2490      3	38                -9999     0	72                1005      1	106               1970      3	140               2006      1	174               1098      2	208               -9999     0	242               4898      2	276               2142      1	310               4664      1	
5                 2491      2	39                -9999     0	73                384       1	107               -9999     0	141               2629      1	175               1716      3	209               2067      2	243               1176      1	277               546       7	
6                 3415      3	40                4705      1	74                1318      1	108               -9999     0	142               3874      1	176               4817      4	210               4253      1	244               1177      1	278               1826      2	
7                 1873      1	41                -9999     0	75                -9999     0	109               4152      1	143               2942      1	177               2976      1	211               4565      1	245               3355      1	279               4011      1	
8                 630       1	42                4976      7	76                4733      3	110               -9999     0	144               1699      1	178               1733      1	212               3633      1	246               2423      1	280               1213      1	
9                 4985      1	43                -9999     0	77                2562      2	111               3843      1	145               1078      1	179               1423      1	213               -9999     0	247               -9999     0	281               901       2	
10                4986      1	44                973       2	78                78        1	112               3844      1	146               2012      1	180               -9999     0	214               1759      2	248               -9999     0	282               282       1	
11                -9999     0	45                1289      1	79                390       1	113               1046      1	147               3879      1	181               2980      1	215               1459      1	249               2112      2	283               3676      5	
12                4052      2	46                4400      1	80                1324      1	114               398       4	148               1701      2	182               4536      1	216               -9999     0	250               -9999     0	284               1834      2	
13                -9999     0	47                3426      7	81                -9999     0	115               1975      2	149               2948      1	183               4848      1	217               -9999     0	251               2739      1	285               3395      1	
14                325       1	48                1292      1	82                3804      3	116               1346      3	150               2929      3	184               -9999     0	218               1766      2	252               -9999     0	286               4010      9	
15                637       1	49                1915      1	83                83        1	117               2601      3	151               -9999     0	185               -9999     0	219               2707      1	253               253       1	287               4605      7	
16                3431      4	50                3782      1	84                1328      1	118               1984      1	152               774       1	186               -9999     0	220               4263      1	254               4297      1	288               288       1	
17                4948      6	51                3472      1	85                1640      1	119               -9999     0	153               2635      2	187               804       2	221               -9999     0	255               877       1	289               911       1	
18                4683      1	52                1918      1	86                -9999     0	120               742       1	154               -9999     0	188               2365      1	222               -9999     0	256               4299      1	290               601       1	
19                952       1	53                4718      1	87                709       1	121               1362      2	155               1710      1	189               179       2	223               -9999     0	257               3989      1	291               2462      3	
20                3441      1	54                2542      1	88                1954      1	122               3541      2	156               2333      1	190               1742      2	224               4879      2	258               -9999     0	292               4024      1	
21                1576      1	55                677       1	89                -9999     0	123               -9999     0	157               779       1	191               500       3	225               -9999     0	259               3257      15	293               3401      2	
22                2510      1	56                1300      1	90                4444      1	124               4789      1	158               3268      1	192               -9999     0	226               -9999     0	260               1504      1	294               -9999     0	
23                -9999     0	57                1911      7	91                4442      2	125               2302      1	159               1401      2	193               2059      1	227               3337      1	261               1194      1	295               3074      5	
24                1579      1	58                3479      1	92                363       11	126               1370      1	160               1077      3	194               -9999     0	228               -9999     0	262               3061      1	296               2162      1	
25                -9999     0	59                1614      1	93                3187      3	127               2304      1	161               4204      1	195               2061      1	229               4272      1	263               3684      1	297               3407      1	
26                1256      3	60                1615      1	94                716       1	128               1037      4	162               754       7	196               4860      2	230               2096      1	264               1508      1	298               -9999     0	
27                1582      1	61                2196      7	95                2890      5	129               3550      1	163               4496      4	197               -9999     0	231               2408      1	265               -9999     0	299               2165      1	
28                2197      2	62                4105      1	96                3517      1	130               441       1	164               164       1	198               3579      5	232               543       1	266               2132      1	300               4323      6	
29                962       1	63                4728      1	97                719       1	131               1064      1	165               1720      1	199               2376      1	233               3032      1	267               1822      1	301               4031      2	
30                2819      2	64                993       2	98                -9999     0	132               4171      3	166               -9999     0	200               4243      1	234               -9999     0	268               890       1	302               1546      1	
31                1586      1	65                -9999     0	99                -9999     0	133               -9999     0	167               1100      1	201               1756      1	235               3656      1	269               4934      1	303               921       3	
32                2823      3	66                1310      1	100               1655      1	134               134       1	168               1723      1	202               1757      1	236               -9999     0	270               1203      1	304               1859      1	
33                1899      1	67                -9999     0	101               -9999     0	135               3245      1	169               3901      1	203               2069      1	237               -9999     0	271               2448      1	305               1238      1	
