0                 -9999     0	34                -9999     0	68                -9999     0	102               724       1	136               748       11	170               -9999     0	204               -9999     0	238               -9999     0	272               2134      5	306               -9999     0	
1                 -9999     0	35                1279      1	69                1935      1	103               3213      1	137               3868      2	171               -9999     0	205               4248      1	239               -9999     0	273               2447      4	307               2173      1	
2                 -9999     0	36                1280      1	70                -9999     0	104               4147      1	138               2004      1	172               -9999     0	206               205       2	240               -9999     0	274               1829      1	308               -9999     0	
3                 -9999     0	37                4078      3	71                2870      1	105               2904      1	139               -9999     0	173               484       1	207               517       2	241               -9999     0	275               891       7	309               3419      1	
4                 -9999     0	38                1593      1	72                382       2	106               1969      4	140               1384      1	174               4839      1	208               3940      1	242               553       1	276               2759      6	310               4974      2	
5                 4359      1	39                1282      2	73                -9999     0	107               107       1	141               2628      2	175               -9999     0	209               -9999     0	243               -9999     0	277               1832      1	
6                 -9999     0	40                -9999     0	74                -9999     0	108               416       4	142               -9999     0	176               2353      1	210               -9999     0	244               -9999     0	278               4942      2	
7                 -9999     0	41                -9999     0	75                -9999     0	109               1349      5	143               4497      1	177               2354      1	211               4876      1	245               1489      1	279               586       5	
8                 8         1	42                -9999     0	76                2564      1	110               110       1	144               -9999     0	178               800       1	212               -9999     0	246               1490      1	280               2457      1	
9                 631       1	43                3464      1	77                1632      1	111               4772      5	145               -9999     0	179               -9999     0	213               -9999     0	247               -9999     0	281               4321      4	
10                -9999     0	44                -9999     0	78                -9999     0	112               730       5	146               2945      1	180               -9999     0	214               -9999     0	248               -9999     0	282               2148      1	
11                -9999     0	45                -9999     0	79                1012      1	113               4144      13	147               -9999     0	181               1425      1	215               1148      1	249               3359      1	283               905       1	
12                -9999     0	46                -9999     0	80                3189      2	114               425       1	148               148       1	182               2358      2	216               1460      1	250               -9999     0	284               1839      1	
13                1568      1	47                980       1	81                3813      1	115               1669      2	149               2014      2	183               1116      1	217               2704      2	251               3050      1	285               4950      1	
14                635       2	48                -9999     0	82                82        1	116               3846      3	150               -9999     0	184               2050      1	218               4880      4	252               2740      1	286               -9999     0	
15                -9999     0	49                2848      1	83                1638      1	117               736       4	151               -9999     0	185               -9999     0	219               -9999     0	253               -9999     0	287               3708      1	
16                2815      1	50                3470      2	84                2261      1	118               421       9	152               -9999     0	186               2985      1	220               -9999     0	254               1187      1	288               -9999     0	
17                4060      1	51                -9999     0	85                4128      1	119               3840      12	153               -9999     0	187               -9999     0	221               1154      1	255               2743      1	289               -9999     0	
18                2195      1	52                4095      1	86                396       2	120               1364      1	154               4197      1	188               3298      1	222               -9999     0	256               2121      2	290               -9999     0	
19                638       4	53                3785      1	87                1641      2	121               2608      2	155               -9999     0	189               -9999     0	223               -9999     0	257               879       1	291               2779      1	
20                3438      4	54                676       1	88                -9999     0	122               728       17	156               467       1	190               2056      1	224               1157      1	258               1502      1	292               -9999     0	
21                4686      1	55                -9999     0	89                4443      1	123               2913      10	157               4822      1	191               2367      2	225               4579      1	259               4610      4	293               -9999     0	
22                640       5	56                2855      1	90                712       1	124               -9999     0	158               158       1	192               3302      1	226               -9999     0	260               3059      1	294               -9999     0	
23                -9999     0	57                2545      1	91                401       2	125               -9999     0	159               3889      3	193               504       1	227               2093      1	261               -9999     0	295               -9999     0	
24                -9999     0	58                2546      1	92                1336      1	126               1059      1	160               4200      4	194               2371      1	228               1161      1	262               -9999     0	296               3406      1	
25                4068      1	59                4724      1	93                3514      1	127               3859      1	161               2027      1	195               505       2	229               539       2	263               -9999     0	297               3718      1	
26                648       1	60                4411      4	94                93        2	128               128       1	162               2335      5	196               3614      4	230               3962      1	264               264       1	298               2474      2	
27                338       1	61                -9999     0	95                2272      1	129               2928      1	163               3273      1	197               2685      1	231               1785      2	265               265       1	299               2785      3	
28                -9999     0	62                -9999     0	96                4450      1	130               2927      3	164               -9999     0	198               1748      6	232               1165      1	266               -9999     0	300               -9999     0	
29                -9999     0	63                2551      1	97                1959      5	131               1996      2	165               -9999     0	199               1132      1	233               2720      2	267               -9999     0	301               2478      1	
30                3451      1	64                1930      1	98                4141      1	132               1687      1	166               1099      1	200               -9999     0	234               2100      1	268               1201      1	302               -9999     0	
31                4695      2	65                2241      2	99                4133      10	133               755       1	167               -9999     0	201               -9999     0	235               3031      4	269               2757      1	303               4968      1	
32                -9999     0	66                1932      1	100               1033      1	134               445       1	168               -9999     0	202               -9999     0	236               -9999     0	270               3691      1	304               -9999     0	
33                966       1	67                685       5	101               3211      1	135               757       1	169               -9999     0	203               -9999     0	237               237       1	271               4622      4	305               -9999     0	
